text,sentiment
"Yaar ye movie bohat achi thi! Highly recommend",positive
"Bohatt bekaar experience tha, waste of money",negative
"Product theek hai, koi khas nahi",neutral
"Kal exam hai aur main parh bhi nahi raha 😂",neutral
"Manager ne bohat zaleel kiya office mein",negative
"Best day of my life! Allah ka shukar 💖",positive
"Kya baat hai, zabardast performance!",positive
"Traffic jam mein 2 ghante phas gaya, gussa araha hai",negative
"Lunch aaj normal tha, kha liya bas",neutral
"New phone aagaya! Bohat khush hun 🎉",positive
"Ye software itna slow hai, dimaag kharab kar deta hai",negative
"Meeting cancel ho gayi, chal theek hai",neutral
"Bohatt piyar sa dream aaya aaj, bohat acha mehsoos ho raha hai",positive
"Customer service ne koi help nahi ki, very disappointed",negative
"Roz ka same routine, khaana sona kaam",neutral
